Package,Class name,Statement Coverage,(2) % Statement coverage,(4) McCabe complexity
org.apache.maven.doxia.sink.impl,RandomAccessSink,0.109090909,10.90909091,174
org.apache.maven.doxia.sink.impl,SinkUtils,1,100,17
org.apache.maven.doxia.sink.impl,AbstractXmlSink,0.955555556,95.55555556,19
org.apache.maven.doxia.sink.impl,AbstractTextSink,0,0,1
org.apache.maven.doxia.sink.impl,SinkEventAttributeSet.Semantics,0.967741935,96.77419355,2
org.apache.maven.doxia.sink.impl,AbstractXmlSinkFactory,1,100,1
org.apache.maven.doxia.sink.impl,AbstractSink,0.95,95,12
org.apache.maven.doxia.sink.impl,AbstractBinarySinkFactory,0,0,7
org.apache.maven.doxia.sink.impl,SinkAdapter,0.956175299,95.61752988,188
org.apache.maven.doxia.sink.impl,SinkEventAttributeSet,1,100,48
org.apache.maven.doxia.sink.impl,XhtmlBaseSink,0.798484848,79.84848485,262
org.apache.maven.doxia.sink.impl,AbstractTextSinkFactory,0.166666667,16.66666667,8
org.apache.maven.doxia.sink.impl,PipelineSink,0,0,5
org.apache.maven.doxia.parser,AbstractParser,0.5,50,19
org.apache.maven.doxia.parser,AbstractXmlParser,0.741935484,74.19354839,66
org.apache.maven.doxia.parser,Parser,0,0,1
org.apache.maven.doxia.parser,XhtmlBaseParser,0.954619125,95.46191248,168
org.apache.maven.doxia.parser,AbstractTextParser,0,0,2
org.apache.maven.doxia.parser,Xhtml5BaseParser,0.890873016,89.08730159,218
org.apache.maven.doxia.parser,AbstractXmlParser.CachedFileEntityResolver,0.545454545,54.54545455,14
org.apache.maven.doxia.parser,ParseException,0,0,14
org.apache.maven.doxia.macro.manager,MacroManager,1,100,1
org.apache.maven.doxia.macro.manager,DefaultMacroManager,1,100,3
org.apache.maven.doxia.macro.manager,MacroNotFoundException,0.333333333,33.33333333,3
org.apache.maven.doxia.index,IndexEntry,0.666666667,66.66666667,30
org.apache.maven.doxia.index,IndexingSink,0.626666667,62.66666667,33
org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Reader.new DocumentXpp3Reader.ContentTransformer() {...},1,100,2
org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Reader,0.708920188,70.89201878,204
org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Writer,0.925,92.5,110
org.apache.maven.doxia.util,ByLineReaderSource,0.684210526,68.42105263,14
org.apache.maven.doxia.util,XmlValidator.MessagesErrorHandler,0.2,20,13
org.apache.maven.doxia.util,XmlValidator,0.903225806,90.32258065,11
org.apache.maven.doxia.util,LineBreaker,0,0,20
org.apache.maven.doxia.util,DoxiaUtils,0.836065574,83.60655738,58
org.apache.maven.doxia.util,HtmlTools,0.917525773,91.75257732,49
org.apache.maven.doxia.macro.toc,TocMacro,0.929824561,92.98245614,19
org.apache.maven.doxia.document,DocumentMeta,0.892156863,89.21568627,205
org.apache.maven.doxia.document,DocumentTOC,0.822222222,82.22222222,27
org.apache.maven.doxia.document,DocumentTOCItem,0.814814815,81.48148148,35
org.apache.maven.doxia.document,DocumentStatistic,0.986754967,98.67549669,62
org.apache.maven.doxia.document,DocumentAuthor,0.96,96,116
