Package,Class name,Branch Coverage,(1) % Branch coverage,(4) McCabe complexity
org.apache.commons.collections4.map,MultiValueMap.new LazyIteratorChain() {...},1,100,4
org.apache.commons.collections4.map,MultiValueMap.ValuesIterator,1,100,5
org.apache.commons.collections4.map,EntrySetToMapIteratorAdapter,1,100,10
org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntry,0.642857143,64.28571429,32
org.apache.commons.collections4.map,Flat3Map.KeySet,1,100,8
org.apache.commons.collections4.map,PassiveExpiringMap,1,100,34
org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.EntrySet,0.9,90,9
org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceMapIterator,1,100,8
org.apache.commons.collections4.map,StaticBucketMap.EntrySet,1,100,11
org.apache.commons.collections4.map,LRUMap,0.775,77.5,45
org.apache.commons.collections4.map,MultiKeyMap,0.635135135,63.51351351,187
